"SRR1382274"	"SRR1382275"	"SRR1382276"	"SRR1382277"	"SRR1382278"	"SRR1382279"	"SRR1382280"	"SRR1382281"	"SRR1382282"
10	17	2	27	17	3	8	5	7
33	51	25	16	42	44	39	27	41
7	10	5	3	9	6	1	0	16
92	69	95	75	221	145	104	91	98
16	48	33	42	42	46	80	16	49
15	6	5	3	8	5	9	13	0
3	3	0	4	1	0	3	1	2
76	177	88	217	158	124	62	145	94
5	40	4	15	31	19	14	18	15
0	0	0	0	14	1	6	0	3
0	0	9	0	11	0	0	7	0
61	153	92	113	93	169	101	103	64
73	89	62	64	148	56	44	135	27
22	35	2	32	38	15	27	38	17
362	381	308	483	551	402	411	429	429
17	33	8	18	40	17	14	34	5
0	1	0	0	1	1	0	0	5
5	16	94	55	238	228	303	236	237
889	1640	802	740	1221	2041	2901	568	2372
44	95	93	63	130	83	62	109	31
690	1616	1141	1495	1113	1363	894	726	1893
62	109	108	74	200	228	216	139	154
79	67	27	48	72	52	66	24	34
100	546	248	235	515	272	350	319	296
28	115	118	90	213	129	188	137	262
46	56	54	52	87	34	59	58	94
457	374	259	319	327	348	482	263	300
6	17	47	15	27	11	19	17	10
12	2	2	0	0	4	2	4	2
98	256	87	93	438	145	192	139	95
11	14	1	4	7	6	11	0	9
143	86	67	87	86	89	83	86	155
0	0	0	0	0	3	0	0	0
0	3	4	0	4	0	1	1	2
741	1366	824	988	3137	2179	1967	1338	2996
0	0	0	0	2	0	1	0	1
40	96	53	71	110	81	147	48	41
56	86	96	221	138	114	47	147	123
7	16	19	4	30	27	18	42	36
4	9	1	15	0	0	4	2	10
11	21	21	19	39	18	23	18	10
0	4	3	0	0	0	0	0	6
5160	6174	2255	3310	4225	4098	4503	2232	3123
6	24	5	12	20	15	2	18	14
2	28	51	57	22	21	17	7	8
163	200	117	170	176	244	201	124	153
8	12	1	21	30	41	80	6	34
0	0	0	0	0	0	0	13	0
23	43	51	61	81	26	24	54	81
24	19	3	14	15	3	6	1	13
98	80	90	165	107	26	84	58	31
1	22	6	8	9	15	15	18	4
7	5	8	30	14	21	2	3	10
49	166	111	105	218	120	66	100	71
477	906	625	369	1276	402	732	761	472
0	1	0	0	2	0	0	1	1
13	29	30	22	10	10	24	4	5
84	107	66	108	186	31	35	154	16
33	65	53	31	92	105	79	65	61
6	20	9	28	81	33	21	31	17
0	4	4	1	9	25	2	0	0
0	0	14	0	0	0	0	0	0
2	1	2	0	0	0	4	0	1
86	368	215	197	498	176	166	445	214
16	3	0	0	10	7	2	0	2
186	152	69	96	101	113	165	18	108
8	4	2	3	0	5	5	0	0
33	39	10	24	26	15	109	15	2
32	62	57	9	95	28	22	21	8
125	498	232	213	175	429	223	310	196
48	8	6	8	14	15	21	7	8
7	8	4	6	9	1	7	4	0
30	50	23	42	59	66	58	23	0
84	97	228	488	340	715	289	283	406
14	5	2	5	12	7	3	6	4
